               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063733,             0.19986,            0.027697,             0.57065,             0.41845,             0.46535,                0.26,             0.06201,             0.12349,            0.020847,              0.0937,              0.0007,              0.0007
                   1,            0.064014,             0.18844,            0.028994,             0.59757,             0.43571,             0.48542,             0.26618,            0.061553,             0.12278,            0.020215,            0.086485,           0.0014851,           0.0014851
                   2,            0.065188,             0.21306,            0.028708,             0.62842,             0.45563,              0.4937,             0.25919,            0.061485,             0.12112,             0.01903,            0.079254,           0.0022545,           0.0022545
                   3,            0.065023,             0.19153,            0.025596,             0.67538,             0.44157,             0.51274,             0.28029,            0.061409,             0.12006,            0.018265,            0.072008,           0.0030079,           0.0030079
                   4,            0.065372,             0.18919,            0.026101,             0.59161,             0.48234,             0.51407,             0.27616,            0.062127,             0.11995,            0.017661,            0.064746,           0.0037456,           0.0037456
                   5,            0.065366,             0.17842,            0.025578,             0.63227,             0.48424,             0.54489,             0.28847,            0.062103,             0.11436,            0.015586,            0.057467,           0.0044673,           0.0044673
                   6,             0.06393,             0.16173,            0.023844,             0.54137,             0.45493,              0.4735,             0.21967,             0.06677,             0.11376,            0.015065,            0.050173,           0.0051733,           0.0051733
                   7,            0.068502,              0.1888,            0.021876,             0.56781,             0.48176,             0.48778,             0.22583,            0.066932,             0.11397,             0.01403,            0.042863,           0.0058634,           0.0058634
                   8,            0.068328,              0.1793,            0.022465,              0.6715,             0.45692,             0.56314,              0.2801,            0.065158,             0.11187,            0.012477,            0.035538,           0.0065377,           0.0065377
                   9,            0.068915,             0.17114,            0.020242,             0.55437,             0.52273,             0.53101,             0.26863,            0.066814,             0.11022,            0.012136,            0.028196,           0.0071961,           0.0071961
                  10,            0.071821,             0.18905,            0.019616,             0.60702,             0.49811,             0.56273,             0.28095,            0.066872,             0.10692,            0.011506,            0.020839,           0.0078387,           0.0078387
                  11,            0.070684,             0.17348,            0.018457,             0.56031,             0.55083,              0.5692,             0.28051,            0.067696,             0.10617,            0.011459,            0.013465,           0.0084655,           0.0084655
                  12,            0.072123,             0.15771,            0.020838,             0.60088,             0.51703,             0.58294,             0.29627,            0.067571,             0.10231,            0.011292,            0.008812,            0.008812,            0.008812
                  13,            0.070444,             0.17244,            0.019495,             0.62342,             0.49723,             0.60116,             0.28652,            0.069607,             0.10218,            0.010847,            0.008812,            0.008812,            0.008812
                  14,            0.068708,              0.1575,            0.018765,             0.56724,             0.56218,              0.5849,             0.28381,            0.067282,             0.10253,            0.011194,            0.008713,            0.008713,            0.008713
                  15,            0.067111,             0.16823,             0.01777,              0.5831,             0.53177,             0.59931,             0.28622,            0.067824,             0.10196,            0.010672,            0.008614,            0.008614,            0.008614
                  16,             0.06846,             0.15478,            0.018126,             0.59451,              0.5815,             0.62653,             0.31353,            0.065037,             0.10098,            0.010246,            0.008515,            0.008515,            0.008515
                  17,            0.065462,             0.15847,            0.018121,             0.57517,             0.59873,             0.63577,             0.30742,            0.065719,             0.10212,           0.0097661,            0.008416,            0.008416,            0.008416
                  18,            0.064295,             0.15899,            0.016252,             0.59457,             0.61938,             0.65455,             0.32962,            0.063309,             0.10122,           0.0092912,            0.008317,            0.008317,            0.008317
                  19,            0.063119,             0.15817,            0.018119,             0.66916,             0.58328,             0.67022,             0.33739,            0.062377,             0.10101,           0.0092497,            0.008218,            0.008218,            0.008218
                  20,            0.063678,             0.15312,            0.017049,             0.56093,              0.6088,             0.62298,             0.31325,            0.065482,             0.10065,           0.0088599,            0.008119,            0.008119,            0.008119
                  21,            0.067019,              0.1469,            0.016023,             0.64773,             0.60927,             0.68375,             0.35669,            0.062494,            0.097664,           0.0086135,             0.00802,             0.00802,             0.00802
                  22,            0.065386,             0.16226,             0.01713,             0.66203,             0.61077,             0.69525,             0.35274,            0.061543,            0.098276,           0.0088198,            0.007921,            0.007921,            0.007921
                  23,            0.064108,             0.15284,            0.015139,             0.68137,              0.6181,              0.7033,             0.36138,            0.061479,            0.098431,           0.0085348,            0.007822,            0.007822,            0.007822
                  24,            0.062102,             0.15917,            0.015104,             0.65678,             0.63778,             0.70299,              0.3688,            0.061004,             0.10043,           0.0086324,            0.007723,            0.007723,            0.007723
                  25,            0.064367,              0.1339,             0.01555,             0.66411,             0.60463,             0.70396,             0.38228,            0.061272,            0.097795,           0.0084182,            0.007624,            0.007624,            0.007624
                  26,            0.063761,             0.15994,            0.014091,             0.65033,             0.63201,             0.70544,             0.37173,            0.060344,            0.096909,           0.0081893,            0.007525,            0.007525,            0.007525
                  27,            0.064674,             0.16581,            0.013471,             0.63923,             0.65349,             0.70309,             0.37189,            0.059426,            0.096519,           0.0078589,            0.007426,            0.007426,            0.007426
                  28,            0.065999,             0.15704,            0.015597,             0.58425,             0.71011,             0.70405,               0.369,            0.060085,            0.095501,            0.007527,            0.007327,            0.007327,            0.007327
                  29,            0.061285,              0.1474,            0.013781,             0.61747,             0.67406,             0.70072,             0.37433,            0.059141,            0.093046,           0.0072559,            0.007228,            0.007228,            0.007228
                  30,            0.064319,             0.14511,            0.013448,             0.65071,              0.6914,             0.71856,              0.3838,            0.058224,            0.093739,           0.0072598,            0.007129,            0.007129,            0.007129
                  31,             0.06232,             0.16304,            0.012971,             0.71018,             0.67991,             0.74227,             0.40304,            0.057174,            0.093344,           0.0069383,             0.00703,             0.00703,             0.00703
                  32,            0.062117,             0.14585,            0.014179,             0.64947,             0.67796,              0.7258,             0.39779,            0.058476,            0.093458,           0.0068511,            0.006931,            0.006931,            0.006931
                  33,            0.062953,             0.15819,            0.013264,             0.66824,             0.69669,              0.7375,             0.41422,            0.057096,            0.092113,           0.0068915,            0.006832,            0.006832,            0.006832
                  34,            0.063191,             0.15614,            0.013822,              0.6559,             0.69216,             0.72127,             0.40735,            0.057884,            0.091908,           0.0066719,            0.006733,            0.006733,            0.006733
                  35,            0.063511,             0.15626,            0.013156,             0.68017,             0.69332,             0.73471,             0.40142,            0.057008,            0.091232,           0.0066494,            0.006634,            0.006634,            0.006634
                  36,            0.062214,             0.15324,             0.01252,             0.65873,             0.66488,              0.7255,             0.39833,            0.058158,            0.089905,           0.0065178,            0.006535,            0.006535,            0.006535
                  37,            0.062489,             0.14634,            0.012953,             0.65899,             0.68615,             0.73441,             0.41255,            0.057227,            0.090712,           0.0066265,            0.006436,            0.006436,            0.006436
                  38,            0.061537,             0.15252,            0.012208,             0.70345,             0.68363,             0.75426,             0.42799,            0.056103,            0.090202,           0.0063969,            0.006337,            0.006337,            0.006337
                  39,            0.060806,             0.14952,            0.012414,             0.74886,             0.67535,              0.7658,             0.42887,            0.055463,            0.090786,           0.0062234,            0.006238,            0.006238,            0.006238
                  40,            0.060487,             0.14685,            0.013043,             0.67525,             0.68369,             0.74571,             0.42202,            0.056602,            0.089413,           0.0060393,            0.006139,            0.006139,            0.006139
                  41,            0.061929,              0.1405,            0.012381,             0.68129,             0.69187,             0.73055,             0.41514,            0.056249,            0.088097,           0.0059595,             0.00604,             0.00604,             0.00604
                  42,            0.061146,             0.14146,            0.011954,             0.69201,             0.70905,              0.7485,             0.41615,            0.056367,            0.089298,           0.0059112,            0.005941,            0.005941,            0.005941
                  43,            0.058735,             0.15062,             0.01105,              0.7183,             0.71421,             0.77066,             0.43212,            0.055521,            0.089865,           0.0057964,            0.005842,            0.005842,            0.005842
                  44,            0.060946,             0.14743,            0.012539,             0.72748,             0.72471,             0.78421,             0.45298,            0.054308,            0.089991,           0.0057217,            0.005743,            0.005743,            0.005743
                  45,            0.058253,             0.12771,            0.012386,             0.78609,             0.67732,             0.78057,             0.46584,            0.053848,            0.089853,           0.0058633,            0.005644,            0.005644,            0.005644
                  46,            0.059316,             0.14061,            0.011232,             0.69151,             0.75995,             0.78836,             0.45798,             0.05459,            0.089561,           0.0056537,            0.005545,            0.005545,            0.005545
                  47,            0.056132,             0.14349,            0.011329,             0.63846,             0.73539,             0.76284,             0.45014,            0.055263,            0.088177,           0.0055994,            0.005446,            0.005446,            0.005446
                  48,            0.058654,             0.13282,            0.011441,             0.77632,             0.69419,             0.79548,             0.46581,            0.053624,            0.087759,           0.0055729,            0.005347,            0.005347,            0.005347
                  49,            0.057534,             0.13495,             0.01103,             0.71981,              0.6849,              0.7612,             0.43388,            0.055131,            0.087164,           0.0055318,            0.005248,            0.005248,            0.005248
                  50,            0.058441,              0.1316,            0.011321,             0.75993,             0.70911,             0.78781,             0.46074,            0.053435,            0.087702,            0.005447,            0.005149,            0.005149,            0.005149
                  51,            0.060366,             0.14744,            0.011758,              0.7911,             0.69918,             0.79938,             0.47736,            0.052426,            0.088377,           0.0054055,             0.00505,             0.00505,             0.00505
                  52,            0.058734,             0.14264,            0.010706,             0.79742,             0.69926,             0.80205,             0.48263,            0.052692,            0.086197,           0.0053401,            0.004951,            0.004951,            0.004951
                  53,            0.055364,             0.13379,            0.011963,             0.71989,             0.72457,             0.78842,             0.47209,            0.052541,            0.084818,           0.0053433,            0.004852,            0.004852,            0.004852
                  54,            0.058269,             0.12455,            0.012692,             0.69996,             0.74753,             0.78965,             0.46393,            0.053073,            0.084612,           0.0051166,            0.004753,            0.004753,            0.004753
                  55,            0.058905,             0.13883,            0.011415,             0.72964,             0.74716,             0.79251,             0.48133,            0.052083,            0.085768,           0.0050969,            0.004654,            0.004654,            0.004654
                  56,            0.058086,              0.1406,            0.011468,             0.75793,             0.74662,             0.80369,             0.48421,            0.052025,            0.087107,           0.0051877,            0.004555,            0.004555,            0.004555
                  57,            0.057062,             0.12338,            0.011148,             0.75745,             0.74627,             0.80996,             0.48586,            0.052524,            0.086775,           0.0050554,            0.004456,            0.004456,            0.004456
                  58,            0.056326,             0.15006,            0.011538,             0.75749,             0.74913,              0.8146,              0.4865,            0.051831,            0.085364,           0.0049614,            0.004357,            0.004357,            0.004357
                  59,            0.057275,             0.12736,            0.010175,             0.72081,             0.75326,             0.80837,             0.48351,            0.051689,            0.083473,           0.0048991,            0.004258,            0.004258,            0.004258
                  60,            0.057238,             0.12949,            0.011051,             0.76311,             0.75031,             0.81452,             0.48848,            0.050994,            0.083224,            0.004818,            0.004159,            0.004159,            0.004159
                  61,            0.055756,             0.14256,            0.010331,             0.76212,             0.76342,             0.81659,             0.49428,            0.051178,            0.083611,           0.0048559,             0.00406,             0.00406,             0.00406
                  62,             0.05822,             0.12854,            0.010825,             0.76172,             0.76562,             0.82028,             0.49249,            0.051287,            0.084904,           0.0047468,            0.003961,            0.003961,            0.003961
                  63,            0.054774,              0.1383,           0.0099673,             0.74914,             0.76614,             0.82621,             0.49933,            0.050881,             0.08547,           0.0047268,            0.003862,            0.003862,            0.003862
                  64,            0.055787,             0.13409,           0.0099321,             0.76817,              0.7564,             0.82254,             0.49291,            0.051011,            0.085507,           0.0046858,            0.003763,            0.003763,            0.003763
                  65,            0.055773,              0.1437,            0.009967,             0.80597,             0.74983,             0.82494,             0.50378,            0.050353,            0.084909,           0.0046089,            0.003664,            0.003664,            0.003664
                  66,            0.052367,             0.13055,           0.0096503,             0.76114,             0.75907,             0.81847,             0.50372,            0.050794,            0.084412,           0.0046066,            0.003565,            0.003565,            0.003565
                  67,            0.055425,             0.14378,           0.0093273,             0.77283,             0.76009,              0.8212,              0.5126,            0.050111,            0.083113,           0.0045701,            0.003466,            0.003466,            0.003466
                  68,            0.055359,             0.13354,            0.011141,             0.76729,             0.77202,             0.82332,             0.52412,            0.049657,            0.082552,           0.0045286,            0.003367,            0.003367,            0.003367
                  69,            0.055557,             0.14608,            0.010078,             0.76116,             0.77904,             0.83461,             0.52929,             0.04869,            0.081845,           0.0044732,            0.003268,            0.003268,            0.003268
                  70,            0.055978,             0.16586,           0.0099227,             0.79821,             0.76715,             0.83448,             0.52304,            0.048506,             0.08226,           0.0044534,            0.003169,            0.003169,            0.003169
                  71,            0.055335,              0.1435,           0.0096552,             0.79218,             0.77479,             0.82726,             0.51738,            0.048747,            0.082337,            0.004414,             0.00307,             0.00307,             0.00307
                  72,            0.055868,             0.14156,            0.010169,             0.82744,             0.73683,             0.83104,             0.53102,            0.048257,            0.081737,           0.0044248,            0.002971,            0.002971,            0.002971
                  73,            0.053671,             0.13946,            0.010206,             0.78634,             0.77953,             0.83233,             0.52625,            0.048003,            0.082028,           0.0043384,            0.002872,            0.002872,            0.002872
                  74,            0.054968,             0.13914,            0.010043,             0.80398,             0.75554,             0.83748,              0.5259,            0.048489,            0.082191,           0.0042815,            0.002773,            0.002773,            0.002773
                  75,            0.054974,             0.14954,           0.0095853,             0.81385,             0.75087,             0.83022,              0.5259,            0.048203,            0.082117,           0.0042804,            0.002674,            0.002674,            0.002674
                  76,            0.054102,             0.12785,           0.0090708,             0.77453,             0.76272,             0.82528,             0.53325,            0.047977,            0.082086,           0.0042724,            0.002575,            0.002575,            0.002575
                  77,            0.052014,             0.12932,           0.0087366,             0.78796,             0.75966,             0.83238,             0.53698,             0.04798,            0.081373,           0.0042264,            0.002476,            0.002476,            0.002476
                  78,            0.053761,             0.13584,           0.0093564,             0.83241,             0.73667,             0.84009,             0.53839,            0.047389,            0.081396,            0.004217,            0.002377,            0.002377,            0.002377
                  79,            0.054934,             0.13798,            0.010085,             0.84744,              0.7382,             0.84378,             0.54209,            0.047228,            0.081725,           0.0042053,            0.002278,            0.002278,            0.002278
                  80,            0.051858,             0.12092,           0.0093119,             0.80332,             0.77128,             0.84546,             0.53756,             0.04769,            0.081456,           0.0042112,            0.002179,            0.002179,            0.002179
                  81,            0.056242,             0.14335,           0.0094918,              0.8467,             0.73962,             0.84378,             0.53651,             0.04705,            0.082023,           0.0041894,             0.00208,             0.00208,             0.00208
                  82,            0.056233,             0.12443,                0.01,              0.8522,              0.7423,             0.83957,             0.52946,            0.047705,            0.082274,           0.0041817,            0.001981,            0.001981,            0.001981
                  83,            0.051581,             0.13943,           0.0091225,             0.81497,             0.75736,             0.84252,             0.53301,             0.04748,            0.080858,           0.0041701,            0.001882,            0.001882,            0.001882
                  84,            0.053906,             0.13323,           0.0090667,             0.77351,             0.77932,             0.84518,             0.54119,            0.046867,            0.080011,           0.0041676,            0.001783,            0.001783,            0.001783
                  85,            0.048914,             0.12365,           0.0091612,              0.8079,             0.77118,             0.84992,             0.54576,            0.046625,            0.079751,            0.004141,            0.001684,            0.001684,            0.001684
                  86,             0.05412,             0.13458,           0.0098386,             0.85149,             0.74996,             0.85053,             0.55527,            0.046383,            0.079542,           0.0041072,            0.001585,            0.001585,            0.001585
                  87,             0.05056,             0.13063,           0.0089149,              0.8348,             0.76315,             0.85346,             0.55309,            0.046337,            0.079591,              0.0041,            0.001486,            0.001486,            0.001486
                  88,            0.052064,             0.12481,           0.0091198,             0.78605,             0.79205,             0.85359,             0.55317,            0.046552,            0.079485,           0.0040637,            0.001387,            0.001387,            0.001387
                  89,             0.05161,             0.12952,            0.009037,             0.83599,             0.75946,             0.85298,             0.56119,            0.046096,            0.079373,           0.0040551,            0.001288,            0.001288,            0.001288
                  90,            0.052281,             0.13265,            0.009713,             0.79596,             0.78254,             0.85303,             0.56163,            0.046161,            0.079236,           0.0040433,            0.001189,            0.001189,            0.001189
                  91,            0.051301,             0.13806,           0.0094781,             0.77415,             0.81114,             0.85445,              0.5655,            0.045882,            0.079293,           0.0040144,             0.00109,             0.00109,             0.00109
